date,open,high,low,close,wave
2017/10/25,3384.858,3398.304,3382.034,3396.898,-0.002552942
2017/10/26,3397.519,3414.242,3391.455,3407.567,-0.003140807
2017/10/27,3404.498,3421.103,3402.114,3416.812,-0.002713079
2017/10/30,3413.868,3419.732,3357.276,3390.337,0.007748451
2017/10/31,3380.999,3397.099,3376.124,3393.342,-0.000886343
2017/11/1,3393.968,3410.352,3388.598,3395.913,-0.00075766
2017/11/2,3391.652,3391.652,3372.213,3383.31,0.003711226
2017/11/3,3377.736,3380.57,3347.36,3371.744,0.003418546
2017/11/6,3369.685,3389.383,3356.534,3388.174,-0.004872849
2017/11/7,3389.472,3415.148,3387.946,3413.575,-0.007496959
2017/11/8,3409.147,3434.492,3404.881,3415.46,-0.000552207
2017/11/9,3410.672,3428.77,3408.619,3427.795,-0.003611519
2017/11/10,3423.185,3438.792,3414.329,3432.673,-0.001423072
2017/11/13,3435.184,3449.164,3435.085,3447.836,-0.004417257
2017/11/14,3446.545,3450.495,3419.692,3429.548,0.005304197
2017/11/15,3416.211,3423.75,3396.381,3402.525,0.007879464
2017/11/16,3393.194,3409.653,3390.589,3399.25,0.00096252
2017/11/17,3392.683,3403.286,3373.296,3382.908,0.004807531
2017/11/20,3361.356,3393.106,3337.116,3392.399,-0.002805574
2017/11/21,3382.36,3419.802,3377.599,3410.498,-0.005335163
2017/11/22,3417.331,3442.178,3404.287,3430.464,-0.005854277
2017/11/23,3425.009,3429.424,3342.332,3351.918,0.022896611
2017/11/24,3340.384,3360.746,3328.334,3353.821,-0.000567735
2017/11/27,3346.657,3347.051,3315.264,3322.23,0.009419406
2017/11/28,3311.232,3333.8,3300.781,3333.657,-0.003439557
2017/11/29,3335.567,3343.062,3305.572,3337.862,-0.001261378
2017/11/30,3328.643,3340.92,3306.283,3317.188,0.006193785
2017/12/1,3315.105,3324.516,3302.44,3317.617,-0.000129326
2017/12/4,3310.381,3323.996,3304.103,3309.618,0.002411068
2017/12/5,3301.691,3315.737,3300.512,3303.675,0.001795676
2017/12/6,3291.313,3296.201,3254.611,3293.965,0.002939151
2017/12/7,3283.279,3291.282,3259.164,3272.054,0.006651862
2017/12/8,3264.478,3297.13,3258.759,3289.992,-0.005482183
2017/12/11,3290.488,3322.674,3288.295,3322.196,-0.009788474
2017/12/12,3320.31,3320.31,3280.329,3280.814,0.012456219
2017/12/13,3278.397,3304.01,3273.325,3303.037,-0.006773624
2017/12/14,3302.932,3309.53,3282.573,3292.439,0.003208562
2017/12/15,3287.529,3287.529,3259.388,3266.137,0.007988607
2017/12/18,3268.034,3280.544,3254.178,3267.922,-0.000546517
2017/12/19,3266.019,3296.94,3266.019,3296.538,-0.008756635
2017/12/20,3296.74,3300.212,3276.12,3287.606,0.002709509
2017/12/21,3281.118,3309.223,3267.404,3300.059,-0.003787863
2017/12/22,3297.685,3307.328,3293.442,3297.063,0.000907863
2017/12/25,3296.211,3312.3,3270.441,3280.461,0.005035391
2017/12/26,3277.837,3307.299,3274.327,3306.125,-0.007823291
2017/12/27,3302.461,3307.08,3270.349,3275.783,0.009177511
2017/12/28,3272.291,3304.096,3263.728,3296.385,-0.006289183
2017/12/29,3295.246,3308.225,3292.77,3307.172,-0.003272373
2018/1/2,3314.031,3349.053,3314.031,3348.326,-0.012443864
2018/1/3,3347.743,3379.915,3345.289,3369.108,-0.006206684
2018/1/4,3371,3392.826,3365.295,3385.71,-0.004927714
2018/1/5,3386.464,3402.069,3380.245,3391.75,-0.001783969
2018/1/8,3391.553,3412.731,3384.559,3409.48,-0.00522739
2018/1/9,3406.112,3417.228,3403.587,3413.9,-0.001296385
2018/1/10,3414.113,3430.214,3398.842,3421.834,-0.002324028
2018/1/11,3415.585,3426.483,3405.639,3425.345,-0.001026058
2018/1/12,3423.879,3435.424,3417.98,3428.941,-0.001049821
2018/1/15,3428.951,3442.501,3402.312,3410.488,0.005381545
2018/1/16,3403.469,3437.583,3401.961,3436.594,-0.007654623
2018/1/17,3438.576,3465.205,3430.511,3444.671,-0.002350292
2018/1/18,3449.881,3476.546,3448.789,3474.754,-0.0087332
2018/1/19,3481.62,3498.434,3474.292,3487.864,-0.003772929
2018/1/22,3476.994,3503.386,3475.673,3501.362,-0.00386999
2018/1/23,3504.344,3547.222,3504.344,3546.505,-0.012892983
2018/1/24,3553.479,3569.489,3527.112,3559.465,-0.003654302
2018/1/25,3555.168,3571.481,3528.035,3548.307,0.003134741
2018/1/26,3535.493,3574.905,3534.195,3558.129,-0.002768081
2018/1/29,3563.64,3587.032,3510.269,3523.001,0.009872604
2018/1/30,3511.501,3523.051,3484.656,3488.009,0.009932441
2018/1/31,3470.509,3495.453,3454.726,3480.833,0.002057334
2018/2/1,3478.67,3495.093,3424.419,3446.98,0.009725546
2018/2/2,3419.225,3463.164,3388.86,3462.081,-0.004380936
2018/2/5,3411.67,3487.721,3406.241,3487.497,-0.007341249
2018/2/6,3418.01,3440.124,3364.216,3370.652,0.033503971
2018/2/7,3412.744,3425.538,3304.007,3309.26,0.018213687
2018/2/8,3281.046,3307.162,3225.712,3262.05,0.014266029
2018/2/9,3172.851,3180.11,3062.743,3129.851,0.040526356
2018/2/12,3128.371,3168.126,3113.605,3154.125,-0.007755641
2018/2/13,3176.107,3219.217,3176.107,3184.959,-0.00977577
2018/2/14,3188.248,3203.497,3171.384,3199.159,-0.004458456
2018/2/22,3237.569,3269.916,3234.115,3268.559,-0.021693201
2018/2/23,3275.429,3294.134,3258.488,3289.024,-0.006261169
2018/2/26,3307.295,3335.986,3281.615,3329.574,-0.012328885
2018/2/27,3328.672,3328.672,3284.629,3292.068,0.011264504
2018/2/28,3264.059,3277.832,3239.844,3259.408,0.009920816
2018/3/1,3235.089,3280.149,3228.585,3273.755,-0.00440172
2018/3/2,3248.446,3269.938,3242.267,3254.528,0.005873072
2018/3/5,3255.871,3269.4,3236.717,3256.926,-0.00073682
2018/3/6,3266.487,3290.253,3243.654,3289.642,-0.010045055
2018/3/7,3288.865,3308.406,3264.764,3271.668,0.005463816
2018/3/8,3268.347,3289.497,3261.552,3288.406,-0.005116045
2018/3/9,3291.426,3309.715,3283.559,3307.166,-0.005704892
2018/3/12,3319.209,3333.561,3313.555,3326.699,-0.005906265
2018/3/13,3324.122,3333.875,3307.376,3310.239,0.004947848
2018/3/14,3298.666,3304.979,3287.356,3291.382,0.005696568
2018/3/15,3277.514,3297.098,3273.201,3291.112,8.20324E-05
2018/3/16,3290.209,3300.565,3269.283,3269.882,0.006450707
2018/3/19,3264.928,3280.567,3251.047,3279.252,-0.002865547
2018/3/20,3257.219,3292.574,3252.433,3290.64,-0.003472743
2018/3/21,3299.731,3314.209,3268.878,3280.952,0.002944108
2018/3/22,3281.265,3288.797,3242.762,3263.48,0.005325284
2018/3/23,3172.772,3188.235,3110.664,3152.761,0.033926667
2018/3/26,3117.319,3134.276,3091.458,3133.722,0.006038834
2018/3/27,3164.798,3172.778,3143.57,3166.649,-0.010507314
2018/3/28,3130.571,3165.213,3117.534,3122.29,0.014008183
2018/3/29,3127.263,3174.509,3098.247,3160.531,-0.012247741
2018/3/30,3161.786,3177.721,3152.889,3168.897,-0.002647024
2018/4/2,3169.779,3192.34,3159.986,3163.179,0.001804413
2018/4/3,3130.013,3144.332,3119.132,3136.633,0.00839219
2018/4/4,3147.049,3163.34,3128.867,3131.111,0.001760486
2018/4/9,3125.442,3146.093,3110.303,3138.294,-0.002294074
2018/4/10,3144.257,3190.649,3139.081,3190.322,-0.016578434
2018/4/11,3197.372,3220.845,3191.587,3208.082,-0.005566836
2018/4/12,3203.278,3205.252,3177.049,3180.158,0.008704266
2018/4/13,3192.042,3197.896,3155.506,3159.052,0.006636777
2018/4/16,3152.888,3153.106,3096.1,3110.649,0.015322002
2018/4/17,3112.975,3118.76,3064.028,3066.797,0.01409738
2018/4/18,3091.91,3096.889,3041.625,3091.399,-0.00802205
2018/4/19,3094.274,3127.439,3090.287,3117.376,-0.008402992
2018/4/20,3105.462,3111.171,3065.921,3071.543,0.014702429
2018/4/23,3063.443,3085.057,3045.937,3068.012,0.001149585
2018/4/24,3069.746,3136.04,3069.746,3128.927,-0.019854877
2018/4/25,3112.398,3122.908,3107.001,3117.974,0.003500561
2018/4/26,3119.496,3121.933,3067.929,3075.03,0.013773046
2018/4/27,3082.415,3088.035,3049.914,3082.232,-0.002342091
2018/5/2,3087.409,3097.604,3064.763,3081.177,0.000342284
2018/5/3,3074.517,3105.66,3056.157,3100.859,-0.006387819
2018/5/4,3093.117,3104.093,3086.785,3091.033,0.003168799
2018/5/7,3094.899,3136.836,3091.658,3136.645,-0.014756232
2018/5/8,3135.296,3169.701,3134.062,3161.498,-0.007923434
2018/5/9,3160.138,3165.373,3145.657,3159.15,0.000742686
2018/5/10,3169.05,3176.138,3155.533,3174.413,-0.004831363
2018/5/11,3179.797,3180.756,3162.212,3163.263,0.00351246
2018/5/14,3167.042,3183.816,3163.476,3174.032,-0.003404396
2018/5/15,3180.425,3192.807,3164.518,3192.118,-0.005698115
2018/5/16,3180.226,3191.948,3166.811,3169.565,0.007065215
2018/5/17,3170.006,3172.766,3148.621,3154.283,0.004821482
2018/5/18,3151.082,3193.453,3144.776,3193.303,-0.012370482
2018/5/21,3206.176,3219.74,3203.336,3213.84,-0.006431272
2018/5/22,3211.247,3214.589,3192.228,3214.35,-0.000158689
2018/5/23,3205.437,3205.437,3168.964,3168.964,0.014119806
2018/5/24,3167.939,3173.531,3152.069,3154.651,0.004516618
2018/5/25,3148.41,3156.726,3131.068,3141.303,0.004231213
2018/5/28,3136.809,3149.665,3115.959,3135.082,0.001980388
2018/5/29,3129.621,3143.208,3112.153,3120.461,0.004663674
2018/5/30,3081.142,3085.397,3041,3041.443,0.02532254
2018/5/31,3061.829,3098.076,3054.269,3095.474,-0.017764923
2018/6/1,3084.754,3102.088,3059.786,3075.137,0.006569915
2018/6/4,3083.427,3098.402,3076.994,3091.191,-0.00522058
2018/6/5,3088.008,3114.769,3080.046,3114.206,-0.00744535
2018/6/6,3109.175,3117.525,3103.533,3115.18,-0.00031276
2018/6/7,3121.184,3128.715,3105.578,3109.499,0.001823651
2018/6/8,3100.604,3100.685,3053.288,3067.148,0.013619879
2018/6/11,3057.339,3063.61,3037.914,3052.783,0.004683504
2018/6/12,3053.028,3081.447,3034.101,3079.802,-0.008850613
2018/6/13,3071.464,3071.464,3044.12,3049.797,0.009742509
2018/6/14,3038.07,3066.047,3032.406,3044.16,0.00184832
2018/6/15,3037.452,3048.797,3008.732,3021.901,0.007312034
2018/6/19,2982.65,2984.971,2871.355,2907.822,0.03775074
2018/6/20,2889.984,2925.561,2872.163,2915.731,-0.002719905
2018/6/21,2912.003,2940.586,2872.619,2875.81,0.013691592
2018/6/22,2855.585,2891.969,2837.144,2889.76,-0.004850807
2018/6/25,2903.45,2908.624,2857.871,2859.336,0.01052821
2018/6/26,2829.995,2850.24,2803.785,2844.508,0.005185819
2018/6/27,2842.396,2854.258,2798.8,2813.178,0.011014207
2018/6/28,2799.904,2825.987,2782.446,2786.897,0.009342103
2018/6/29,2789.811,2848.372,2782.381,2847.418,-0.021716267
2018/7/2,2841.58,2845.68,2756.815,2775.557,0.02523725
2018/7/3,2774.57,2786.888,2722.449,2786.888,-0.004082424
2018/7/4,2776.632,2793.179,2754.155,2759.126,0.009961649
2018/7/5,2755.339,2777.523,2727.94,2733.882,0.009149274
2018/7/6,2731.353,2768.874,2691.021,2747.229,-0.004882069
2018/7/9,2752.447,2815.79,2752.447,2815.11,-0.024708898
2018/7/10,2819.712,2828.493,2800.625,2827.625,-0.004445652
2018/7/11,2780.704,2794.36,2752.435,2777.771,0.017631051
2018/7/12,2771.041,2844.193,2771.041,2837.659,-0.021559733
2018/7/13,2831.428,2835.463,2818.848,2831.184,0.00228181
2018/7/16,2827.082,2837.509,2804.493,2814.042,0.006054711
2018/7/17,2806.885,2806.919,2774.762,2798.126,0.005655921
2018/7/18,2801.777,2818.395,2786.04,2787.257,0.003884385
2018/7/19,2791.016,2805.011,2764.486,2772.545,0.005278308
2018/7/20,2769.754,2837.862,2753.84,2829.271,-0.020459902
2018/7/23,2815.201,2863.571,2809.616,2859.542,-0.010699223
2018/7/24,2862.267,2911.465,2862.267,2905.562,-0.016093486
2018/7/25,2911.453,2912.313,2894.039,2903.647,0.000659081
2018/7/26,2905.794,2915.297,2875.701,2882.225,0.007377619
2018/7/27,2879.69,2889.694,2864.11,2873.594,0.002994561
2018/7/30,2871.94,2896.011,2850.296,2869.05,0.001581295
2018/7/31,2866.899,2884.68,2854.32,2876.401,-0.002562172
2018/8/1,2882.506,2897.4,2823.929,2824.534,0.018031909
2018/8/2,2815.344,2815.344,2726.483,2768.024,0.02000684
2018/8/3,2763.396,2777.657,2740.432,2740.443,0.009964148
2018/8/6,2736.526,2760.474,2692.322,2705.157,0.01287602
2018/8/7,2711.736,2779.374,2696.039,2779.374,-0.027435376
2018/8/8,2771.129,2779.912,2741.067,2744.07,0.012702141
2018/8/9,2729.579,2801.659,2726.215,2794.382,-0.018334809
2018/8/10,2791.402,2806.115,2777.506,2795.31,-0.000332095
2018/8/13,2769.017,2789.798,2742.56,2785.872,0.00337637
2018/8/14,2780.736,2789.444,2766.569,2780.965,0.001761387
2018/8/15,2777.249,2777.703,2721.24,2723.258,0.020750711
2018/8/16,2691.426,2732.949,2672.741,2705.192,0.006633966
2018/8/17,2723.887,2730.333,2665.592,2668.966,0.013391286
2018/8/20,2673.066,2698.466,2653.112,2698.466,-0.01105297
2018/8/21,2700.342,2739.173,2696.292,2733.826,-0.013103741
2018/8/22,2731.958,2731.958,2709.062,2714.608,0.007029709
2018/8/23,2714.867,2736.01,2700.804,2724.624,-0.003689667
2018/8/24,2717.081,2748.824,2705.324,2729.431,-0.00176428
2018/8/27,2736.319,2780.899,2736.319,2780.899,-0.018856677
2018/8/28,2782.293,2791.39,2769.401,2777.981,0.001049301
2018/8/29,2774.865,2778.539,2762.35,2769.295,0.003126731
2018/8/30,2769.332,2780.527,2736.346,2737.737,0.01139568
2018/8/31,2730.113,2744.631,2710.537,2725.25,0.004561066
2018/9/3,2716.404,2722.852,2692.364,2720.734,0.001657096
2018/9/4,2720.648,2756.607,2712.376,2750.58,-0.010969834
2018/9/5,2741.38,2745.467,2704.337,2704.337,0.016812091
2018/9/6,2697.578,2719.406,2683.745,2691.593,0.00471243
2018/9/7,2696.678,2728.546,2683.719,2702.301,-0.003978313
2018/9/10,2698.011,2703.429,2667.317,2669.485,0.012143725
2018/9/11,2668.487,2680.573,2652.704,2664.8,0.00175502
2018/9/12,2659.744,2672.074,2647.17,2656.11,0.003261033
2018/9/13,2679.208,2689.062,2653.189,2686.578,-0.01147091
2018/9/14,2688.779,2694.92,2675.29,2681.643,0.001836909
2018/9/17,2671.291,2671.291,2647.915,2651.789,0.011132727
2018/9/18,2644.296,2700.193,2644.296,2699.95,-0.018161701
2018/9/19,2694.799,2746.08,2690.994,2730.85,-0.011444656
2018/9/20,2732.17,2743.965,2724.084,2729.244,0.000588095
2018/9/21,2733.874,2797.485,2722.032,2797.485,-0.025003627
2018/9/25,2775.066,2790.032,2771.16,2781.139,0.005843106
2018/9/26,2785.317,2827.341,2783.342,2806.813,-0.00923147
2018/9/27,2805.793,2810.506,2786.322,2791.775,0.005357678
2018/9/28,2794.264,2821.755,2791.836,2821.35,-0.010593619
2018/10/8,2768.208,2771.938,2710.178,2716.51,0.037159516
2018/10/9,2713.732,2734.314,2711.197,2721.013,-0.001657642
2018/10/10,2723.724,2743.548,2703.063,2725.837,-0.001772869
2018/10/11,2643.074,2661.286,2560.316,2583.458,0.052233131
2018/10/12,2574.042,2615.917,2536.665,2606.913,-0.009078917
2018/10/15,2605.912,2611.969,2564.738,2568.098,0.014889258
2018/10/16,2567.764,2597.715,2536.441,2546.33,0.008476312
2018/10/17,2574.313,2582.549,2517.573,2561.614,-0.006002364
2018/10/18,2544.911,2544.911,2485.619,2486.419,0.02935454
2018/10/19,2460.081,2553.387,2449.197,2550.465,-0.02575833
2018/10/22,2565.644,2675.406,2565.644,2654.876,-0.040938025
2018/10/23,2652.648,2659.812,2583.261,2594.826,0.022618759
2018/10/24,2579.972,2640.402,2577.773,2603.295,-0.003263803
2018/10/25,2540.935,2606.101,2531.535,2603.8,-0.000193985
2018/10/26,2610.898,2626.116,2580.845,2598.847,0.00190222
2018/10/29,2593.591,2595.537,2529.188,2542.103,0.021834298
2018/10/30,2538.574,2586.919,2521.784,2568.048,-0.010206117
2018/10/31,2573.015,2612.922,2567.027,2602.783,-0.013525838
2018/11/1,2617.033,2636.799,2603.651,2606.237,-0.001327041
2018/11/2,2649.251,2676.476,2628.87,2676.476,-0.02695035
2018/11/5,2665.427,2673.188,2639.271,2665.431,0.004126695
2018/11/6,2660.719,2660.863,2635.321,2659.356,0.002279181
2018/11/7,2659.845,2675.677,2639.246,2641.342,0.00677382
2018/11/8,2660.087,2662.369,2632.301,2635.632,0.00216178
2018/11/9,2621.238,2621.238,2598.161,2598.872,0.013947319
2018/11/12,2593.2,2631.17,2590.211,2630.52,-0.012177591
2018/11/13,2600.5,2666.485,2597.348,2654.88,-0.009260526
2018/11/14,2648.309,2658.307,2627.957,2632.243,0.008526562
2018/11/15,2632.138,2668.17,2631.888,2668.17,-0.013648816
2018/11/16,2669.78,2695.569,2657.034,2679.11,-0.004100189
2018/11/19,2681.899,2703.512,2674.178,2703.512,-0.009108249
2018/11/20,2684.287,2690.83,2643.359,2645.855,0.021326704
2018/11/21,2619.821,2653.796,2617.776,2651.505,-0.002135416
2018/11/22,2655.896,2658.001,2634.483,2645.434,0.002289643
2018/11/23,2640.667,2642.036,2577.351,2579.483,0.024930125
2018/11/26,2580.842,2594.997,2568.035,2575.81,0.001423929
2018/11/27,2585.826,2592.535,2566.166,2574.679,0.000439085
2018/11/28,2575.454,2601.963,2561.562,2601.737,-0.010509271
2018/11/29,2613.781,2617.548,2567.443,2567.443,0.013181194
2018/11/30,2564.564,2590.21,2555.322,2588.188,-0.008080024
2018/12/3,2647.132,2665.298,2629.184,2654.798,-0.025736152
2018/12/4,2651.561,2666.078,2644.896,2665.958,-0.00420371
2018/12/5,2629.833,2660.389,2625.913,2649.805,0.006058985
2018/12/6,2629.82,2633.678,2603.132,2605.181,0.016840484
2018/12/7,2609.341,2614.582,2599.278,2605.888,-0.000271382
2018/12/10,2589.194,2599.762,2576.242,2584.582,0.0081761
2018/12/11,2587.015,2596.146,2583.196,2594.088,-0.003677964
2018/12/12,2608.114,2610.009,2595.075,2602.153,-0.003108992
2018/12/13,2607.144,2645.837,2599.459,2634.049,-0.012257542
2018/12/14,2627.283,2629.164,2593.741,2593.741,0.015302677
2018/12/17,2587.263,2598.967,2573.867,2597.974,-0.001632006
2018/12/18,2583.634,2599.148,2563.573,2576.65,0.008207934
2018/12/19,2578.675,2579.874,2547.078,2549.563,0.010512487
2018/12/20,2544.505,2554.859,2516.019,2536.268,0.005214619
2018/12/21,2526.554,2527.421,2498.694,2516.251,0.007892305
2018/12/24,2506.737,2529.44,2500.443,2527.007,-0.004274613
2018/12/25,2503.95,2513.964,2462.845,2504.819,0.008780348
2018/12/26,2501.12,2513.826,2492.076,2498.294,0.002604979
2018/12/27,2527.717,2532.002,2483.086,2483.086,0.006087354
2018/12/28,2483.617,2505.114,2478.325,2493.896,-0.004353454
2019/1/2,2497.881,2500.278,2456.423,2465.291,0.011470005
2019/1/3,2461.783,2488.479,2455.926,2464.363,0.000376426
2019/1/4,2446.019,2515.316,2440.907,2514.868,-0.02049414
2019/1/7,2528.699,2536.978,2515.508,2533.089,-0.007245311
2019/1/8,2530.3,2531.345,2520.165,2526.462,0.002616173
2019/1/9,2536.417,2574.408,2536.157,2544.345,-0.007078278
2019/1/10,2543.853,2551.826,2531.664,2535.099,0.003633941
2019/1/11,2539.549,2554.787,2533.359,2553.831,-0.007389061
2019/1/14,2553.328,2556.294,2533.01,2535.765,0.007074078
2019/1/15,2537.37,2571.502,2532.433,2570.345,-0.01363691
2019/1/16,2569.07,2574.236,2563.006,2570.422,-2.99571E-05
2019/1/17,2573.576,2582.556,2557.711,2559.637,0.004195809
2019/1/18,2567.739,2598.884,2565.904,2596.006,-0.014208655
2019/1/21,2599.058,2618.98,2599.058,2610.509,-0.005586659
2019/1/22,2609.642,2609.642,2573.062,2579.704,0.011800381
2019/1/23,2575.258,2589.513,2572.405,2581.004,-0.000503934
2019/1/24,2584.648,2597.289,2569.7,2591.694,-0.004141799
2019/1/25,2596.262,2617.002,2595.629,2601.723,-0.00386967
2019/1/28,2615.712,2630.318,2591.1,2596.977,0.001824176
2019/1/29,2592.355,2601.736,2559.982,2594.254,0.001048527
2019/1/30,2584.746,2598.815,2575.409,2575.576,0.007199758
2019/1/31,2581.332,2606.628,2571.579,2584.572,-0.003492811
2019/2/1,2597.778,2618.477,2590.554,2618.232,-0.013023433
2019/2/11,2613.174,2654.096,2613.174,2653.896,-0.013621406
2019/2/12,2654.035,2674.478,2648.83,2671.894,-0.006781728
2019/2/13,2674.52,2727.075,2666.522,2721.068,-0.018404173
2019/2/14,2715.536,2729.455,2707.487,2719.7,0.000502744
2019/2/15,2712.786,2715.632,2679.785,2682.385,0.013720263
2019/2/18,2699.817,2754.357,2699.817,2754.357,-0.026831346
2019/2/19,2759.496,2780.784,2737.586,2755.646,-0.000467986
2019/2/20,2761.059,2767.411,2739.978,2761.219,-0.002022393
2019/2/21,2759.938,2794.013,2744.976,2751.801,0.003410812
2019/2/22,2749.462,2804.226,2736.332,2804.226,-0.01905116
2019/2/25,2838.39,2961.795,2838.39,2961.283,-0.056007255
2019/2/26,2969.098,2995.676,2938.623,2941.516,0.006675147
